,index,variable,value
50809,Clb6,410.57243168693515,1.0
50810,MBF,410.57243168693515,1.0
50811,Nrm1,410.57243168693515,0.0
50812,Cdh1,410.58243168693514,1.0
50813,Clb6,410.58243168693514,1.0
50814,MBF,410.58243168693514,1.0
50815,Nrm1,410.58243168693514,0.0
50816,Cdh1,410.59243168693513,1.0
50817,Clb6,410.59243168693513,1.0
50818,MBF,410.59243168693513,1.0
50819,Nrm1,410.59243168693513,0.0
50820,Cdh1,410.6024316869351,1.0
50821,Clb6,410.6024316869351,1.0
50822,MBF,410.6024316869351,1.0
50823,Nrm1,410.6024316869351,0.0
50824,Cdh1,410.6124316869351,1.0
50825,Clb6,410.6124316869351,1.0
50826,MBF,410.6124316869351,1.0
50827,Nrm1,410.6124316869351,0.0
50828,Cdh1,410.6224316869351,1.0
50829,Clb6,410.6224316869351,1.0
50830,MBF,410.6224316869351,1.0
50831,Nrm1,410.6224316869351,0.0
50832,Cdh1,410.6324316869351,1.0
50833,Clb6,410.6324316869351,1.0
50834,MBF,410.6324316869351,1.0
50835,Nrm1,410.6324316869351,0.0
50836,Cdh1,410.6424316869351,1.0
50837,Clb6,410.6424316869351,1.0
50838,MBF,410.6424316869351,1.0
50839,Nrm1,410.6424316869351,0.0
50840,Cdh1,410.6524316869351,1.0
50841,Clb6,410.6524316869351,1.0
50842,MBF,410.6524316869351,1.0
50843,Nrm1,410.6524316869351,0.0
50844,Cdh1,410.66243168693507,1.0
50845,Clb6,410.66243168693507,1.0
50846,MBF,410.66243168693507,1.0
50847,Nrm1,410.66243168693507,0.0
50848,Cdh1,410.67243168693506,1.0
50849,Clb6,410.67243168693506,1.0
50850,MBF,410.67243168693506,1.0
50851,Nrm1,410.67243168693506,0.0
50852,Cdh1,410.68243168693505,1.0
50853,Clb6,410.68243168693505,1.0
50854,MBF,410.68243168693505,1.0
50855,Nrm1,410.68243168693505,0.0
50856,Cdh1,410.69243168693504,1.0
50857,Clb6,410.69243168693504,1.0
50858,MBF,410.69243168693504,1.0
50859,Nrm1,410.69243168693504,0.0
50860,Cdh1,410.70243168693503,1.0
50861,Clb6,410.70243168693503,1.0
50862,MBF,410.70243168693503,1.0
50863,Nrm1,410.70243168693503,0.0
50864,Cdh1,410.712431686935,1.0
50865,Clb6,410.712431686935,1.0
50866,MBF,410.712431686935,1.0
50867,Nrm1,410.712431686935,0.0
50868,Cdh1,410.722431686935,1.0
50869,Clb6,410.722431686935,1.0
50870,MBF,410.722431686935,1.0
50871,Nrm1,410.722431686935,0.0
50872,Cdh1,410.732431686935,1.0
50873,Clb6,410.732431686935,1.0
50874,MBF,410.732431686935,1.0
50875,Nrm1,410.732431686935,0.0
50876,Cdh1,410.742431686935,1.0
50877,Clb6,410.742431686935,1.0
50878,MBF,410.742431686935,1.0
50879,Nrm1,410.742431686935,0.0
50880,Cdh1,410.752431686935,1.0
50881,Clb6,410.752431686935,1.0
50882,MBF,410.752431686935,1.0
50883,Nrm1,410.752431686935,0.0
50884,Cdh1,410.762431686935,1.0
50885,Clb6,410.762431686935,1.0
50886,MBF,410.762431686935,1.0
50887,Nrm1,410.762431686935,0.0
50888,Cdh1,410.77243168693497,1.0
50889,Clb6,410.77243168693497,1.0
50890,MBF,410.77243168693497,1.0
50891,Nrm1,410.77243168693497,0.0
50892,Cdh1,410.78243168693496,1.0
50893,Clb6,410.78243168693496,1.0
50894,MBF,410.78243168693496,1.0
50895,Nrm1,410.78243168693496,0.0
50896,Cdh1,410.79243168693495,1.0
50897,Clb6,410.79243168693495,1.0
50898,MBF,410.79243168693495,1.0
50899,Nrm1,410.79243168693495,0.0
50900,Cdh1,410.80243168693494,1.0
50901,Clb6,410.80243168693494,1.0
50902,MBF,410.80243168693494,1.0
50903,Nrm1,410.80243168693494,0.0
50904,Cdh1,410.81243168693493,1.0
50905,Clb6,410.81243168693493,1.0
50906,MBF,410.81243168693493,1.0
50907,Nrm1,410.81243168693493,0.0
50908,Cdh1,410.8224316869349,1.0
50909,Clb6,410.8224316869349,1.0
50910,MBF,410.8224316869349,1.0
50911,Nrm1,410.8224316869349,0.0
50912,Cdh1,410.8324316869349,1.0
50913,Clb6,410.8324316869349,1.0
50914,MBF,410.8324316869349,1.0
50915,Nrm1,410.8324316869349,0.0
50916,Cdh1,410.8424316869349,1.0
50917,Clb6,410.8424316869349,1.0
50918,MBF,410.8424316869349,1.0
50919,Nrm1,410.8424316869349,0.0
50920,Cdh1,410.8524316869349,1.0
50921,Clb6,410.8524316869349,1.0
50922,MBF,410.8524316869349,1.0
50923,Nrm1,410.8524316869349,0.0
50924,Cdh1,410.8624316869349,1.0
50925,Clb6,410.8624316869349,1.0
50926,MBF,410.8624316869349,1.0
50927,Nrm1,410.8624316869349,0.0
50928,Cdh1,410.8724316869349,1.0
50929,Clb6,410.8724316869349,1.0
50930,MBF,410.8724316869349,1.0
50931,Nrm1,410.8724316869349,0.0
50932,Cdh1,410.88243168693486,1.0
50933,Clb6,410.88243168693486,1.0
50934,MBF,410.88243168693486,1.0
50935,Nrm1,410.88243168693486,0.0
50936,Cdh1,410.89243168693486,1.0
50937,Clb6,410.89243168693486,1.0
50938,MBF,410.89243168693486,1.0
50939,Nrm1,410.89243168693486,0.0
50940,Cdh1,410.90243168693485,1.0
50941,Clb6,410.90243168693485,1.0
50942,MBF,410.90243168693485,1.0
50943,Nrm1,410.90243168693485,0.0
50944,Cdh1,410.91243168693484,1.0
50945,Clb6,410.91243168693484,1.0
50946,MBF,410.91243168693484,1.0
50947,Nrm1,410.91243168693484,0.0
50948,Cdh1,410.92243168693483,1.0
50949,Clb6,410.92243168693483,1.0
50950,MBF,410.92243168693483,1.0
50951,Nrm1,410.92243168693483,0.0
50952,Cdh1,410.9324316869348,1.0
50953,Clb6,410.9324316869348,1.0
50954,MBF,410.9324316869348,1.0
50955,Nrm1,410.9324316869348,0.0
50956,Cdh1,410.9424316869348,1.0
50957,Clb6,410.9424316869348,1.0
50958,MBF,410.9424316869348,1.0
50959,Nrm1,410.9424316869348,0.0
50960,Cdh1,410.9524316869348,1.0
50961,Clb6,410.9524316869348,1.0
50962,MBF,410.9524316869348,1.0
50963,Nrm1,410.9524316869348,0.0
50964,Cdh1,410.9624316869348,1.0
50965,Clb6,410.9624316869348,1.0
50966,MBF,410.9624316869348,1.0
50967,Nrm1,410.9624316869348,0.0
50968,Cdh1,410.9724316869348,1.0
50969,Clb6,410.9724316869348,1.0
50970,MBF,410.9724316869348,1.0
50971,Nrm1,410.9724316869348,0.0
50972,Cdh1,410.9824316869348,1.0
50973,Clb6,410.9824316869348,1.0
50974,MBF,410.9824316869348,1.0
50975,Nrm1,410.9824316869348,0.0
50976,Cdh1,410.99243168693476,1.0
50977,Clb6,410.99243168693476,1.0
50978,MBF,410.99243168693476,1.0
50979,Nrm1,410.99243168693476,0.0
50980,Cdh1,411.00243168693476,1.0
50981,Clb6,411.00243168693476,1.0
50982,MBF,411.00243168693476,1.0
50983,Nrm1,411.00243168693476,0.0
50984,Cdh1,411.01243168693475,1.0
50985,Clb6,411.01243168693475,1.0
50986,MBF,411.01243168693475,1.0
50987,Nrm1,411.01243168693475,0.0
50988,Cdh1,411.02243168693474,1.0
50989,Clb6,411.02243168693474,1.0
50990,MBF,411.02243168693474,1.0
50991,Nrm1,411.02243168693474,0.0
50992,Cdh1,411.03243168693473,1.0
50993,Clb6,411.03243168693473,1.0
50994,MBF,411.03243168693473,1.0
50995,Nrm1,411.03243168693473,0.0
50996,Cdh1,411.0424316869347,1.0
50997,Clb6,411.0424316869347,1.0
50998,MBF,411.0424316869347,1.0
50999,Nrm1,411.0424316869347,0.0
51000,Cdh1,411.0524316869347,1.0
51001,Clb6,411.0524316869347,1.0
51002,MBF,411.0524316869347,1.0
51003,Nrm1,411.0524316869347,0.0
51004,Cdh1,411.0624316869347,1.0
51005,Clb6,411.0624316869347,1.0
51006,MBF,411.0624316869347,1.0
51007,Nrm1,411.0624316869347,0.0
51008,Cdh1,411.0724316869347,1.0
51009,Clb6,411.0724316869347,1.0
51010,MBF,411.0724316869347,1.0
51011,Nrm1,411.0724316869347,0.0
51012,Cdh1,411.0824316869347,1.0
51013,Clb6,411.0824316869347,1.0
51014,MBF,411.0824316869347,1.0
51015,Nrm1,411.0824316869347,0.0
51016,Cdh1,411.0924316869347,1.0
51017,Clb6,411.0924316869347,1.0
51018,MBF,411.0924316869347,1.0
51019,Nrm1,411.0924316869347,0.0
51020,Cdh1,411.10243168693466,1.0
51021,Clb6,411.10243168693466,1.0
51022,MBF,411.10243168693466,1.0
51023,Nrm1,411.10243168693466,0.0
51024,Cdh1,411.11243168693466,1.0
51025,Clb6,411.11243168693466,1.0
51026,MBF,411.11243168693466,1.0
51027,Nrm1,411.11243168693466,0.0
51028,Cdh1,411.12243168693465,1.0
51029,Clb6,411.12243168693465,1.0
51030,MBF,411.12243168693465,1.0
51031,Nrm1,411.12243168693465,0.0
51032,Cdh1,411.13243168693464,1.0
51033,Clb6,411.13243168693464,1.0
51034,MBF,411.13243168693464,1.0
51035,Nrm1,411.13243168693464,0.0
51036,Cdh1,411.14243168693463,1.0
51037,Clb6,411.14243168693463,1.0
51038,MBF,411.14243168693463,1.0
51039,Nrm1,411.14243168693463,0.0
51040,Cdh1,411.1524316869346,1.0
51041,Clb6,411.1524316869346,1.0
51042,MBF,411.1524316869346,1.0
51043,Nrm1,411.1524316869346,0.0
51044,Cdh1,411.1624316869346,1.0
51045,Clb6,411.1624316869346,1.0
51046,MBF,411.1624316869346,1.0
51047,Nrm1,411.1624316869346,0.0
51048,Cdh1,411.1724316869346,1.0
51049,Clb6,411.1724316869346,1.0
51050,MBF,411.1724316869346,1.0
51051,Nrm1,411.1724316869346,0.0
51052,Cdh1,411.1824316869346,1.0
51053,Clb6,411.1824316869346,1.0
51054,MBF,411.1824316869346,1.0
51055,Nrm1,411.1824316869346,0.0
51056,Cdh1,411.1924316869346,1.0
51057,Clb6,411.1924316869346,1.0
51058,MBF,411.1924316869346,1.0
51059,Nrm1,411.1924316869346,0.0
51060,Cdh1,411.2024316869346,1.0
51061,Clb6,411.2024316869346,1.0
51062,MBF,411.2024316869346,1.0
51063,Nrm1,411.2024316869346,0.0
51064,Cdh1,411.21243168693456,1.0
51065,Clb6,411.21243168693456,1.0
51066,MBF,411.21243168693456,1.0
51067,Nrm1,411.21243168693456,0.0
51068,Cdh1,411.22243168693456,1.0
51069,Clb6,411.22243168693456,1.0
51070,MBF,411.22243168693456,1.0
51071,Nrm1,411.22243168693456,0.0
51072,Cdh1,411.23243168693455,1.0
51073,Clb6,411.23243168693455,1.0
51074,MBF,411.23243168693455,1.0
51075,Nrm1,411.23243168693455,0.0
51076,Cdh1,411.24243168693454,1.0
51077,Clb6,411.24243168693454,1.0
51078,MBF,411.24243168693454,1.0
51079,Nrm1,411.24243168693454,0.0
51080,Cdh1,411.25243168693453,1.0
51081,Clb6,411.25243168693453,1.0
51082,MBF,411.25243168693453,1.0
51083,Nrm1,411.25243168693453,0.0
51084,Cdh1,411.2624316869345,1.0
51085,Clb6,411.2624316869345,1.0
51086,MBF,411.2624316869345,1.0
51087,Nrm1,411.2624316869345,0.0
51088,Cdh1,411.2724316869345,1.0
51089,Clb6,411.2724316869345,1.0
51090,MBF,411.2724316869345,1.0
51091,Nrm1,411.2724316869345,0.0
51092,Cdh1,411.2824316869345,1.0
51093,Clb6,411.2824316869345,1.0
51094,MBF,411.2824316869345,1.0
51095,Nrm1,411.2824316869345,0.0
51096,Cdh1,411.2924316869345,1.0
51097,Clb6,411.2924316869345,1.0
51098,MBF,411.2924316869345,1.0
51099,Nrm1,411.2924316869345,0.0
51100,Cdh1,411.3024316869345,1.0
51101,Clb6,411.3024316869345,1.0
51102,MBF,411.3024316869345,1.0
51103,Nrm1,411.3024316869345,0.0
51104,Cdh1,411.3124316869345,1.0
51105,Clb6,411.3124316869345,1.0
51106,MBF,411.3124316869345,1.0
51107,Nrm1,411.3124316869345,0.0
51108,Cdh1,411.32243168693446,1.0
51109,Clb6,411.32243168693446,1.0
51110,MBF,411.32243168693446,1.0
51111,Nrm1,411.32243168693446,0.0
51112,Cdh1,411.33243168693446,1.0
51113,Clb6,411.33243168693446,1.0
51114,MBF,411.33243168693446,1.0
51115,Nrm1,411.33243168693446,0.0
51116,Cdh1,411.34243168693445,1.0
51117,Clb6,411.34243168693445,1.0
51118,MBF,411.34243168693445,1.0
51119,Nrm1,411.34243168693445,0.0
51120,Cdh1,411.35243168693444,1.0
51121,Clb6,411.35243168693444,1.0
51122,MBF,411.35243168693444,1.0
51123,Nrm1,411.35243168693444,0.0
51124,Cdh1,411.3624316869344,1.0
51125,Clb6,411.3624316869344,1.0
51126,MBF,411.3624316869344,1.0
51127,Nrm1,411.3624316869344,0.0
51128,Cdh1,411.3724316869344,1.0
51129,Clb6,411.3724316869344,1.0
51130,MBF,411.3724316869344,1.0
51131,Nrm1,411.3724316869344,0.0
51132,Cdh1,411.3824316869344,1.0
51133,Clb6,411.3824316869344,1.0
51134,MBF,411.3824316869344,1.0
51135,Nrm1,411.3824316869344,0.0
51136,Cdh1,411.3924316869344,1.0
51137,Clb6,411.3924316869344,1.0
51138,MBF,411.3924316869344,1.0
51139,Nrm1,411.3924316869344,0.0
51140,Cdh1,411.4024316869344,1.0
51141,Clb6,411.4024316869344,1.0
