,index,variable,value
40897,Clb6,365.93048586050094,0.0
40898,MBF,365.93048586050094,1.0
40899,Nrm1,365.93048586050094,0.0
40900,Cdh1,365.9404858605009,1.0
40901,Clb6,365.9404858605009,0.0
40902,MBF,365.9404858605009,1.0
40903,Nrm1,365.9404858605009,0.0
40904,Cdh1,365.9504858605009,1.0
40905,Clb6,365.9504858605009,0.0
40906,MBF,365.9504858605009,1.0
40907,Nrm1,365.9504858605009,0.0
40908,Cdh1,365.9604858605009,1.0
40909,Clb6,365.9604858605009,0.0
40910,MBF,365.9604858605009,1.0
40911,Nrm1,365.9604858605009,0.0
40912,Cdh1,365.9704858605009,1.0
40913,Clb6,365.9704858605009,0.0
40914,MBF,365.9704858605009,1.0
40915,Nrm1,365.9704858605009,0.0
40916,Cdh1,365.9804858605009,1.0
40917,Clb6,365.9804858605009,0.0
40918,MBF,365.9804858605009,1.0
40919,Nrm1,365.9804858605009,0.0
40920,Cdh1,365.9904858605009,1.0
40921,Clb6,365.9904858605009,0.0
40922,MBF,365.9904858605009,1.0
40923,Nrm1,365.9904858605009,0.0
40924,Cdh1,366.0004858605009,1.0
40925,Clb6,366.0004858605009,0.0
40926,MBF,366.0004858605009,1.0
40927,Nrm1,366.0004858605009,0.0
40928,Cdh1,366.01048586050086,1.0
40929,Clb6,366.01048586050086,0.0
40930,MBF,366.01048586050086,1.0
40931,Nrm1,366.01048586050086,0.0
40932,Cdh1,366.02048586050086,1.0
40933,Clb6,366.02048586050086,0.0
40934,MBF,366.02048586050086,1.0
40935,Nrm1,366.02048586050086,0.0
40936,Cdh1,366.03048586050085,1.0
40937,Clb6,366.03048586050085,0.0
40938,MBF,366.03048586050085,1.0
40939,Nrm1,366.03048586050085,0.0
40940,Cdh1,366.04048586050084,1.0
40941,Clb6,366.04048586050084,0.0
40942,MBF,366.04048586050084,1.0
40943,Nrm1,366.04048586050084,0.0
40944,Cdh1,366.0504858605008,1.0
40945,Clb6,366.0504858605008,0.0
40946,MBF,366.0504858605008,1.0
40947,Nrm1,366.0504858605008,0.0
40948,Cdh1,366.0604858605008,1.0
40949,Clb6,366.0604858605008,0.0
40950,MBF,366.0604858605008,1.0
40951,Nrm1,366.0604858605008,0.0
40952,Cdh1,366.0704858605008,1.0
40953,Clb6,366.0704858605008,0.0
40954,MBF,366.0704858605008,1.0
40955,Nrm1,366.0704858605008,0.0
40956,Cdh1,366.0804858605008,1.0
40957,Clb6,366.0804858605008,0.0
40958,MBF,366.0804858605008,1.0
40959,Nrm1,366.0804858605008,0.0
40960,Cdh1,366.0904858605008,1.0
40961,Clb6,366.0904858605008,0.0
40962,MBF,366.0904858605008,1.0
40963,Nrm1,366.0904858605008,0.0
40964,Cdh1,366.1004858605008,1.0
40965,Clb6,366.1004858605008,0.0
40966,MBF,366.1004858605008,1.0
40967,Nrm1,366.1004858605008,0.0
40968,Cdh1,366.1104858605008,1.0
40969,Clb6,366.1104858605008,0.0
40970,MBF,366.1104858605008,1.0
40971,Nrm1,366.1104858605008,0.0
40972,Cdh1,366.12048586050076,1.0
40973,Clb6,366.12048586050076,0.0
40974,MBF,366.12048586050076,1.0
40975,Nrm1,366.12048586050076,0.0
40976,Cdh1,366.13048586050076,1.0
40977,Clb6,366.13048586050076,0.0
40978,MBF,366.13048586050076,1.0
40979,Nrm1,366.13048586050076,0.0
40980,Cdh1,366.14048586050075,1.0
40981,Clb6,366.14048586050075,0.0
40982,MBF,366.14048586050075,1.0
40983,Nrm1,366.14048586050075,0.0
40984,Cdh1,366.15048586050074,1.0
40985,Clb6,366.15048586050074,0.0
40986,MBF,366.15048586050074,1.0
40987,Nrm1,366.15048586050074,0.0
40988,Cdh1,366.1604858605007,1.0
40989,Clb6,366.1604858605007,0.0
40990,MBF,366.1604858605007,1.0
40991,Nrm1,366.1604858605007,0.0
40992,Cdh1,366.1704858605007,1.0
40993,Clb6,366.1704858605007,0.0
40994,MBF,366.1704858605007,1.0
40995,Nrm1,366.1704858605007,0.0
40996,Cdh1,366.1804858605007,1.0
40997,Clb6,366.1804858605007,0.0
40998,MBF,366.1804858605007,1.0
40999,Nrm1,366.1804858605007,0.0
41000,Cdh1,366.1904858605007,1.0
41001,Clb6,366.1904858605007,0.0
41002,MBF,366.1904858605007,1.0
41003,Nrm1,366.1904858605007,0.0
41004,Cdh1,366.2004858605007,1.0
41005,Clb6,366.2004858605007,0.0
41006,MBF,366.2004858605007,1.0
41007,Nrm1,366.2004858605007,0.0
41008,Cdh1,366.2104858605007,1.0
41009,Clb6,366.2104858605007,0.0
41010,MBF,366.2104858605007,1.0
41011,Nrm1,366.2104858605007,0.0
41012,Cdh1,366.2204858605007,1.0
41013,Clb6,366.2204858605007,0.0
41014,MBF,366.2204858605007,1.0
41015,Nrm1,366.2204858605007,0.0
41016,Cdh1,366.23048586050066,1.0
41017,Clb6,366.23048586050066,0.0
41018,MBF,366.23048586050066,1.0
41019,Nrm1,366.23048586050066,0.0
41020,Cdh1,366.24048586050066,1.0
41021,Clb6,366.24048586050066,0.0
41022,MBF,366.24048586050066,1.0
41023,Nrm1,366.24048586050066,0.0
41024,Cdh1,366.25048586050065,1.0
41025,Clb6,366.25048586050065,0.0
41026,MBF,366.25048586050065,1.0
41027,Nrm1,366.25048586050065,0.0
41028,Cdh1,366.26048586050064,1.0
41029,Clb6,366.26048586050064,0.0
41030,MBF,366.26048586050064,1.0
41031,Nrm1,366.26048586050064,0.0
41032,Cdh1,366.2704858605006,1.0
41033,Clb6,366.2704858605006,0.0
41034,MBF,366.2704858605006,1.0
41035,Nrm1,366.2704858605006,0.0
41036,Cdh1,366.2804858605006,1.0
41037,Clb6,366.2804858605006,0.0
41038,MBF,366.2804858605006,1.0
41039,Nrm1,366.2804858605006,0.0
41040,Cdh1,366.2904858605006,1.0
41041,Clb6,366.2904858605006,0.0
41042,MBF,366.2904858605006,1.0
41043,Nrm1,366.2904858605006,0.0
41044,Cdh1,366.3004858605006,1.0
41045,Clb6,366.3004858605006,0.0
41046,MBF,366.3004858605006,1.0
41047,Nrm1,366.3004858605006,0.0
41048,Cdh1,366.3104858605006,1.0
41049,Clb6,366.3104858605006,0.0
41050,MBF,366.3104858605006,1.0
41051,Nrm1,366.3104858605006,0.0
41052,Cdh1,366.3204858605006,1.0
41053,Clb6,366.3204858605006,0.0
41054,MBF,366.3204858605006,1.0
41055,Nrm1,366.3204858605006,0.0
41056,Cdh1,366.3304858605006,1.0
41057,Clb6,366.3304858605006,0.0
41058,MBF,366.3304858605006,1.0
41059,Nrm1,366.3304858605006,0.0
41060,Cdh1,366.34048586050056,1.0
41061,Clb6,366.34048586050056,0.0
41062,MBF,366.34048586050056,1.0
41063,Nrm1,366.34048586050056,0.0
41064,Cdh1,366.35048586050056,1.0
41065,Clb6,366.35048586050056,0.0
41066,MBF,366.35048586050056,1.0
41067,Nrm1,366.35048586050056,0.0
41068,Cdh1,366.36048586050055,1.0
41069,Clb6,366.36048586050055,0.0
41070,MBF,366.36048586050055,1.0
41071,Nrm1,366.36048586050055,0.0
