,cln3,whi5,sbf,cln2,mbf,clb5,ori,clb2G,cdc5,mcm1,clb2M,sac,cdc20,spoc,cdc14,swi5,cdh1,sic1,nrm1,time,cell_size,critical_size,divide status,SPN_p,SPO_p
64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,55.75318867178667,0.5968203262054544,0.6133950833552992,,0.0,0.0
65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56.279154039902565,0.5992423098649967,0.6133950833552992,,0.0,0.0
66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56.50856978865157,0.6003018076902434,0.6133950833552992,,0.0,0.0
67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56.87708121610859,0.6020076058649085,0.6133950833552992,,0.0,0.0
68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,59.04167654507853,0.6121255837022861,0.6133950833552992,,0.0,0.0
69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,59.4886452295495,0.614235940628467,0.6133950833552992,,0.0,0.0
70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,60.40085976975103,0.6185655537035284,0.6133950833552992,,0.0,0.0
71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,62.90234146196593,0.6305954826110749,0.6133950833552992,,0.0,0.0
72,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,64.10978022480225,0.636485643220548,0.6133950833552992,,0.0,0.0
73,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,64.49102750073898,0.6383568582658588,0.6133950833552992,,0.0,0.0
74,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,65.48527825152773,0.6432627014613537,0.6133950833552992,,0.0,0.0
75,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,66.54458091227,0.6485310142554367,0.6133950833552992,,0.0,0.0
76,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,66.93680896194688,0.6504926397944838,0.6133950833552992,,0.0,0.0
77,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,68.68567816363817,0.6593116103309384,0.6133950833552992,,0.0,0.0
78,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,69.13992570161452,0.6616217262322499,0.6133950833552992,,0.0,0.0
79,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,69.48924116151821,0.6634037048491114,0.6133950833552992,,0.0,0.0
80,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,70.29087098700337,0.6675112611654782,0.6133950833552992,,0.0,0.0
81,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,70.57820317327734,0.668989736613937,0.6133950833552992,,0.0,0.0
82,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,71.97660916138504,0.6762321570910896,0.6133950833552992,,0.0,0.0
83,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,72.6017401363887,0.6794950530209014,0.6133950833552992,,0.0,0.0
84,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,73.47078818237468,0.6840572570088094,0.6133950833552992,,0.0,0.0
85,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,74.65359587388517,0.6903158471998811,0.6133950833552992,,0.06862594199967158,0.0
86,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,74.85772163005885,0.6914017169253246,0.6133950833552992,,0.13841201752769555,0.0
87,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,75.41345550653834,0.6943666683822028,0.6133950833552992,,0.2099313467974247,0.0
88,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,76.32161063967379,0.6992392484394689,0.6133950833552992,,0.2804447138477487,0.0
89,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,76.48805632986048,0.7001359902298288,0.6133950833552992,,0.3506463648431799,0.0
90,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,78.07217541872738,0.7087283479291501,0.6133950833552992,,0.42322228319078314,0.0
91,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,79.69453305853668,0.7176374223792574,0.6133950833552992,,0.49015819105084746,0.0
92,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,80.32713848061813,0.7211416061969614,0.6133950833552992,,0.5587838210061837,0.0
93,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,80.78637971775183,0.7236961905593714,0.6133950833552992,,0.6304146415479189,0.0
94,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,81.18010375712974,0.7258935314113656,0.6133950833552992,,0.700857657584704,0.0
95,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,82.21006563121067,0.7316732683134939,0.6133950833552992,,0.7698993418295217,0.0
96,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,83.8554910096501,0.7410023783694958,0.6133950833552992,,0.834666340010325,0.0
97,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,84.1797090815417,0.742854586397226,0.6133950833552992,,0.9095041460720461,0.0
98,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,84.66773501651504,0.7456513366611709,0.6133950833552992,,0.9842082425762323,0.0
99,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,85.29770223523043,0.749277089778234,0.6133950833552992,,1.0,0.0
100,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,86.23834849653498,0.7547237872544105,0.6133950833552992,,1.0,0.0
101,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,87.25838190474573,0.7606749223064367,0.6133950833552992,,0.0,0.06749822934936542
102,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,87.47062128228116,0.7619190664711436,0.6133950833552992,,0.0,0.13519015492974296
103,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,88.20266145088623,0.7662259095656455,0.6133950833552992,,0.0,0.20708155372603368
104,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,89.17209938112019,0.7719669354863679,0.6133950833552992,,0.0,0.2770090104048075
105,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,90.17433466942344,0.7779474143985147,0.6133950833552992,,0.0,0.3427893392454926
106,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,91.56008764936858,0.7862927897365456,0.6133950833552992,,0.0,0.41208521726750497
