,cdh1_K_Theta,cdc5_K_Theta,Mean_Time
123,22.75,21.45,56.30915018261391
124,22.75,22.75,57.55213799257075
125,22.75,18.900000000000002,53.66034347076928
126,22.75,20.3,55.17247915717736
127,22.75,21.0,55.726477643484415
128,22.75,23.099999999999998,57.9844926301952
129,22.75,24.5,59.238012238872
130,22.75,20.25,54.96379739774389
131,22.75,21.75,56.48590635393335
132,22.75,22.5,57.345805379650855
133,22.75,24.75,59.68772870662338
134,22.75,26.25,61.187583276462426
135,22.75,21.6,56.48445095826345
136,22.75,23.2,58.18454342740731
137,22.75,24.0,58.81089145470078
138,22.75,26.4,61.29723295027309
139,22.75,28.0,62.725528095533654
140,22.75,22.950000000000003,57.78255945411108
141,22.75,24.65,59.40628235375302
142,22.75,25.5,60.429106357683736
143,22.75,28.049999999999997,62.825909728832755
144,22.75,29.75,64.62099904475501
145,22.75,24.3,59.266770736428306
146,22.75,26.099999999999998,60.783465631272584
147,22.75,27.0,61.881271044992175
148,22.75,29.7,64.55200778690963
149,22.75,31.5,66.20476593055042
150,18.900000000000002,17.55,48.59878132467373
151,18.900000000000002,18.849999999999998,49.834305631190034
152,18.900000000000002,19.5,50.52546535393869
153,18.900000000000002,21.45,52.61171406249234
154,18.900000000000002,22.75,53.75302485201365
155,18.900000000000002,18.900000000000002,49.80933420240482
156,18.900000000000002,20.3,51.27812896283919
157,18.900000000000002,21.0,51.941239681416235
158,18.900000000000002,23.099999999999998,54.078791347443776
159,18.900000000000002,24.5,55.50142278072958
160,18.900000000000002,20.25,51.26926955475754
161,18.900000000000002,21.75,52.706929363232085
162,18.900000000000002,22.5,53.42150398009131
163,18.900000000000002,24.75,55.71959692040916
164,18.900000000000002,26.25,57.14983886866642
165,18.900000000000002,21.6,52.53861802107473
166,18.900000000000002,23.2,54.11920283504029
167,18.900000000000002,24.0,55.07082148725856
168,18.900000000000002,26.4,57.45318547321313
169,18.900000000000002,28.0,59.00762927905249
170,18.900000000000002,22.950000000000003,53.904118216822276
171,18.900000000000002,24.65,55.6689930195443
172,18.900000000000002,25.5,56.52848058319885
173,18.900000000000002,28.049999999999997,58.94379576587558
174,18.900000000000002,29.75,60.734246945019954
175,18.900000000000002,24.3,55.40827200669585
176,18.900000000000002,26.099999999999998,57.0787823350837
177,18.900000000000002,27.0,57.97222776279125
178,18.900000000000002,29.7,60.59993485938621
179,18.900000000000002,31.5,62.4797216998928
180,20.3,17.55,49.90237947308332
181,20.3,18.849999999999998,51.143306526993605
182,20.3,19.5,51.90386302233718
183,20.3,21.45,53.90475302847293
184,20.3,22.75,55.20245786865981
185,20.3,18.900000000000002,51.331807071776744
186,20.3,20.3,52.65084765124524
187,20.3,21.0,53.4515233161153
188,20.3,23.099999999999998,55.44084961319129
189,20.3,24.5,56.93842968212413
190,20.3,20.25,52.59885476470751
191,20.3,21.75,54.20408438403901
192,20.3,22.5,54.91205985471478
193,20.3,24.75,57.136801912138566
194,20.3,26.25,58.725452281236876
195,20.3,21.6,54.11882566720914
196,20.3,23.2,55.73506393469279
197,20.3,24.0,56.29443696134026
