,clb5_K_Theta,cdh1_K_Theta,Mean_Time
269,23.099999999999998,31.5,63.96877616262528
270,24.5,17.55,52.547556232789205
271,24.5,18.849999999999998,54.1114720898276
272,24.5,19.5,54.45930517459501
273,24.5,21.45,56.452509845540284
274,24.5,22.75,57.680675046585186
275,24.5,18.900000000000002,54.11929989591387
276,24.5,20.3,55.408437248268115
277,24.5,21.0,55.87460061542655
278,24.5,23.099999999999998,57.67712712705686
279,24.5,24.5,58.79957483131959
280,24.5,20.25,55.33514115006846
281,24.5,21.75,56.66673540782008
282,24.5,22.5,57.0326649779461
283,24.5,24.75,59.248779327247206
284,24.5,26.25,60.71566142368741
285,24.5,21.6,56.41920942520983
286,24.5,23.2,57.84485947706592
287,24.5,24.0,58.63192588696415
288,24.5,26.4,60.94164754849917
289,24.5,28.0,62.47969838880595
290,24.5,22.950000000000003,57.4364963265738
291,24.5,24.65,59.08189566607598
292,24.5,25.5,60.29930937749228
293,24.5,28.049999999999997,62.163905312290474
294,24.5,29.75,63.914726066532594
295,24.5,24.3,59.07620058866066
296,24.5,26.099999999999998,60.602856894709255
297,24.5,27.0,61.47555234381087
298,24.5,29.7,63.57317160655264
299,24.5,31.5,65.35427638377922
300,20.25,17.55,48.45541646498807
301,20.25,18.849999999999998,49.83589003278083
302,20.25,19.5,50.00179025195333
303,20.25,21.45,51.839836645173044
304,20.25,22.75,53.326655178877814
305,20.25,18.900000000000002,49.951973277712675
306,20.25,20.3,50.996512719551475
307,20.25,21.0,51.8500741451746
308,20.25,23.099999999999998,53.58373438488645
309,20.25,24.5,55.18867718096307
310,20.25,20.25,51.11508628644142
311,20.25,21.75,52.293860971667925
312,20.25,22.5,52.93831479059876
313,20.25,24.75,55.21330846852703
314,20.25,26.25,56.47212125885583
315,20.25,21.6,52.03415915633497
316,20.25,23.2,53.621193384012194
317,20.25,24.0,54.38153299700987
318,20.25,26.4,56.448876728274634
319,20.25,28.0,58.09163229836003
320,20.25,22.950000000000003,53.524032746339
321,20.25,24.65,55.167326107140426
322,20.25,25.5,55.75493935348319
323,20.25,28.049999999999997,58.02868039218126
324,20.25,29.75,59.47211420197912
325,20.25,24.3,54.72698021623861
